i,j,id,m,pabs,e
36,5,25,125.01,142.091,189.255
36,10,25,125.01,139.734,187.492
36,16,25,125.01,139.339,187.197
36,27,25,125.01,139.59,187.384
36,657,25,125.01,139.576,187.374
36,876,23,13.7897,12.1265,18.3633
36,877,23,107.481,130.432,169.011
36,878,13,0.10566,14.212,14.2124
36,879,-13,0.10566,4.14954,4.15088
36,880,-13,0.10566,4.14156,4.1429
36,882,13,0.10566,14.2107,14.2111
36,2075,11,0.000511,23.9354,23.9354
36,2076,-11,0.000511,2.08047,2.08047
37,5,25,124.999,126.954,178.163
37,14,25,124.999,127.04,178.224
37,108,25,124.999,127.29,178.402
37,154,25,124.999,126.994,178.192
37,281,25,124.999,127.157,178.308
37,628,25,124.999,127.047,178.229
37,834,23,12.7458,36.4816,38.644
37,835,23,91.2142,105.659,139.585
37,847,15,1.77682,28.2016,28.2575
37,848,-15,1.77682,111.313,111.327
37,1820,11,0.000511,1.1566,1.1566
37,1821,-11,0.000511,1.22854,1.22854
38,5,25,125.002,142.418,189.495
38,9,25,125.002,134.184,183.387
38,14,25,125.002,140.289,187.9
38,91,25,125.002,142.296,189.403
38,138,25,125.002,143.851,190.574
38,181,25,125.002,143.319,190.173
38,683,25,125.002,143.164,190.056
38,883,23,90.4346,133.941,161.613
38,884,23,23.7737,15.6162,28.4439
38,917,15,1.77682,88.7735,88.7913
38,918,-15,1.77682,72.7996,72.8213
38,919,-15,1.77682,72.4677,72.4895
38,921,15,1.77682,88.6477,88.6655
38,1620,-13,0.10566,9.15109,9.1517
38,1729,11,0.000511,47.3045,47.3045
38,1730,-11,0.000511,8.58119,8.58119
38,1749,11,0.000511,0.351817,0.351818
38,1750,-11,0.000511,0.0105836,0.010596
39,5,25,124.998,201.53,237.148
39,8,25,124.998,211.205,245.422
39,12,25,124.998,191.788,228.926
39,17,25,124.998,195.336,231.907
39,38,25,124.998,195.312,231.887
39,93,25,124.998,195.489,232.035
39,114,25,124.998,195.499,232.044
39,282,25,124.998,195.627,232.152
39,359,23,30.5262,72.0717,78.2699
39,360,23,59.8033,141.786,153.882
39,361,15,1.77682,53.399,53.4285
39,362,-15,1.77682,24.7778,24.8414
39,363,15,1.77682,53.3377,53.3673
39,365,-15,1.77682,24.7776,24.8412
39,366,15,1.77682,53.3361,53.3657
39,368,-15,1.77682,24.7775,24.8411
39,924,11,0.000511,0.972747,0.972747
40,5,25,124.995,58.6841,138.085
40,8,25,124.995,67.0446,141.841
40,16,25,124.995,73.4264,144.966
40,21,25,124.995,85.6931,151.549
40,38,25,124.995,86.9433,152.259
40,51,25,124.995,88.9688,153.425
40,99,25,124.995,88.6729,153.254
40,116,25,124.995,88.0479,152.893
40,455,25,124.995,88.0829,152.913
40,588,23,42.2354,34.9715,54.8346
40,589,23,49.1162,84.8938,98.0783
40,604,13,0.10566,50.4023,50.4024
40,605,-13,0.10566,47.6758,47.6759
40,606,13,0.10566,50.4018,50.4019
40,608,-13,0.10566,47.6758,47.6759
40,609,-13,0.10566,47.6753,47.6754
40,611,13,0.10566,50.4018,50.4019
41,5,25,124.998,172.94,213.384
41,51,25,124.998,169.41,210.533
41,117,25,124.998,167.8,209.24
41,122,25,124.998,167.933,209.346
41,151,25,124.998,168.317,209.655
41,181,25,124.998,168.391,209.714
41,686,25,124.998,168.473,209.78
41,887,23,13.0946,49.4564,51.1606
41,888,23,92.6925,128.718,158.62
41,903,15,1.77682,45.8381,45.8725
41,904,-15,1.77682,112.733,112.747
41,905,15,1.77682,45.8379,45.8723
41,907,-15,1.77682,112.733,112.747
41,1674,-11,0.000511,107.046,107.046
41,1922,11,0.000511,2.77426,2.77426
41,1923,-11,0.000511,0.253176,0.253176
41,2065,11,0.000511,0.120506,0.120507
41,2066,-11,0.000511,0.0231872,0.0231929
