i,j,id,m,px,py,pz
728,1095,-13,0.10566,1.6086,-3.07215,16.5049
728,1288,11,0.000511,1.25377,0.403178,25.8347
728,1289,-11,0.000511,0.960397,0.288434,20.2446
728,1352,11,0.000511,-0.0985126,-0.0714842,-7.47302
728,1353,-11,0.000511,-0.0300545,-0.0242678,-2.04207
729,140,13,0.10566,-14.7516,8.73059,44.0176
729,141,-13,0.10566,-37.2857,-37.1071,-26.0715
729,360,11,0.000511,-1.97281,-0.851686,-0.209268
730,639,13,0.10566,37.3068,-21.9874,-89.2762
730,640,-13,0.10566,-47.5935,12.9438,-120.68
730,1316,11,0.000511,-0.499954,-0.245019,-15.7047
730,1317,-11,0.000511,-0.351436,-0.153714,-11.1807
730,1429,11,0.000511,-0.0503968,-0.140348,0.171379
730,1430,-11,0.000511,-0.00946171,-0.0303042,0.0405202
731,716,13,0.10566,-43.5889,24.7483,17.1011
731,717,-13,0.10566,26.7732,-26.3633,55.5108
731,718,13,0.10566,-43.5701,24.7292,17.0883
731,720,-13,0.10566,26.7728,-26.3629,55.5099
731,721,13,0.10566,-43.5698,24.7291,17.0882
731,723,-13,0.10566,26.7728,-26.3629,55.5099
731,1506,11,0.000511,0.253945,0.0781899,-0.100235
731,1507,-11,0.000511,0.0230539,0.0377307,-0.00515039
732,532,15,1.77682,25.104,-20.7948,398.193
732,533,-15,1.77682,-14.5118,13.0542,656.305
732,1139,11,0.000511,0.194007,0.0572226,4.76847
732,1140,-11,0.000511,0.179934,0.04918,4.39453
733,197,11,0.000511,10.2154,8.96507,-6.1065
733,198,-11,0.000511,-18.2639,-0.128611,-10.2366
733,199,11,0.000511,10.2127,8.96237,-6.10465
733,201,-11,0.000511,-18.2639,-0.128611,-10.2366
734,257,15,1.77682,42.2485,18.8008,-231.811
734,258,-15,1.77682,42.6458,24.1779,-689.52
734,504,11,0.000511,6.18341,19.5238,-144.697
734,675,-13,0.10566,-1.53951,-4.07406,7.55971
735,176,13,0.10566,26.1311,7.46935,76.6002
735,177,-13,0.10566,-4.52854,-5.5965,25.1462
735,178,13,0.10566,26.1309,7.46929,76.5996
735,180,-13,0.10566,-4.52854,-5.5965,25.1462
735,531,11,0.000511,-0.0561077,-0.353615,0.0469616
735,537,11,0.000511,-0.0213362,0.408846,0.416855
735,538,-11,0.000511,-0.00360486,0.0577458,0.0586479
736,623,11,0.000511,-6.09442,-13.0912,136.272
736,624,-11,0.000511,11.6533,10.7743,147.431
736,625,-11,0.000511,4.23235,4.08307,54.0602
736,627,11,0.000511,-6.09385,-13.09,136.259
736,628,11,0.000511,-6.09331,-13.0889,136.248
736,630,-11,0.000511,4.23235,4.08307,54.0602
736,631,-11,0.000511,4.23231,4.08303,54.0596
736,633,11,0.000511,-6.09331,-13.0889,136.248
737,402,15,1.77682,13.7419,7.53079,-31.5186
737,403,-15,1.77682,-30.4618,-10.0629,-145.678
737,901,11,0.000511,-0.157678,0.0238059,55.0075
737,902,-11,0.000511,-0.0879144,0.0192582,28.6901
738,377,13,0.10566,17.5933,55.5994,-3.8447
738,378,-13,0.10566,-43.4744,18.8065,47.0757
738,812,11,0.000511,0.134902,-0.126895,0.83706
738,813,-11,0.000511,0.23657,-0.249036,1.71727
738,817,11,0.000511,-0.00106307,0.0515502,3.01085
738,818,-11,0.000511,-0.0040844,-0.0054224,0.509525
739,159,15,1.77682,38.0592,18.207,-23.4028
739,160,-15,1.77682,-42.4213,-11.948,-67.6085
739,384,11,0.000511,19.8019,8.96152,-12.6494
740,950,11,0.000511,-5.5333,0.0705513,54.0589
740,951,-11,0.000511,17.0174,62.6577,4.35798
740,1684,-13,0.10566,2.09331,0.838471,-5.90328
740,1762,13,0.10566,0.198357,0.068269,0.385624
740,1901,11,0.000511,0.00954477,-0.0179456,-0.144547
740,1902,-11,0.000511,0.00145678,-0.00303388,-0.0240292
740,2026,11,0.000511,-0.0361545,0.148936,-1.16193
740,2092,11,0.000511,1.17752,0.598183,136.478
740,2104,-11,0.000511,-0.94349,0.228169,1.4901
741,632,11,0.000511,8.71523,4.73847,31.4309
741,633,-11,0.000511,-17.3509,-1.5304,10.3311
741,634,13,0.10566,-24.8747,-9.24725,-4.37368
741,635,-13,0.10566,38.663,25.5909,80.6759
741,636,13,0.10566,-23.5411,-9.00085,-3.98909
741,638,-13,0.10566,38.6554,25.5859,80.6601
741,639,13,0.10566,-23.5395,-9.0003,-3.98891
741,641,-13,0.10566,38.6554,25.5859,80.6601
741,1312,11,0.000511,-0.0140404,-0.0199501,0.474714
741,1313,-11,0.000511,-0.133551,-0.0220255,2.53409
